Designator,Mid X,Mid Y,Rotation,Layer
D1,74.125,-41.215,270.0,top
D10,64.6,-85.705,180.0,bottom
D11,64.6,-104.755,180.0,bottom
D12,106.875,-104.755,180.0,bottom
D13,106.875,-85.705,180.0,bottom
D14,106.875,-66.655,180.0,bottom
D15,106.875,-47.605,180.0,bottom
D2,97.35,-41.277218,90.0,top
D3,74.125,-60.31,90.0,top
D4,97.35,-60.327218,90.0,top
D5,74.125,-79.36,90.0,top
D6,97.35,-79.377218,90.0,top
D7,74.125,-98.41,90.0,top
D8,97.35,-98.427218,90.0,top
D9,64.6,-66.655,180.0,bottom
SW1,64.35,-42.525,0.0,top
SW2,106.875,-40.36,0.0,top
SW3,64.6,-59.41,0.0,top
SW4,106.875,-59.41,0.0,top
SW5,64.6,-78.46,0.0,top
SW6,106.875,-78.46,0.0,top
SW7,64.6,-97.51,0.0,top
SW8,106.875,-97.51,0.0,top
U1,85.7175,-38.1,0.0,top
